missing_rate,method,chunk_index,day_index,group_dimension,flow_group,length_group,is_warmup_day,missing_count,valid_eval_count,fallback_count,mae,rmse,mape,smape,nrmse,abs_error_sum,sq_error_sum,ape_sum,ape_count,smape_sum,smape_count,true_min,true_max
0.05,forward_fill,0,0,flow_group,high_flow,overall,True,67470,67470,474,169.2577667236328,470.81591796875,0.0446765534579753,0.0557630471885204,0.0636311413015324,11419822.0,14955915264.0,3014.3271484375,67470,3762.332763671875,67470,2911.89208984375,10311.03515625
0.05,forward_fill,0,0,flow_group,low_flow,overall,True,67596,67596,603,96.19650268554688,237.02333068847656,0.1266405880451202,0.1103397533297538,0.1592265724288784,6502499.0,3797547520.0,8405.388671875,66372,7359.88232421875,66702,0.0,1488.591552734375
0.05,forward_fill,0,0,flow_group,mid_flow,overall,True,66803,66803,597,165.94613647460938,359.96600341796875,0.0744274035096168,0.0853146314620971,0.2529115769657127,11085700.0,8656033792.0,4971.9736328125,66803,5699.2734375,66803,1488.5958251953125,2911.8837890625
0.05,forward_fill,0,0,length_group,overall,long,True,32573,32573,0,269.88720703125,534.5795288085938,0.1445932388305664,0.1402231156826019,0.0608591912804535,8791036.0,9308557312.0,4685.9775390625,32408,4559.63525390625,32517,0.0,8783.875
0.05,forward_fill,0,0,length_group,overall,mid,True,15337,15337,0,141.74664306640625,271.4632568359375,0.1006261631846427,0.0760003626346588,0.0309754993711373,2173968.25,1130218752.0,1532.435791015625,15229,1160.1455078125,15265,0.0,8763.8056640625
0.05,forward_fill,0,0,length_group,overall,short,True,153959,153959,1674,117.19364166259766,332.0072326660156,0.0664885118603706,0.0724687799811363,0.0321992144954302,18043016.0,16970718208.0,10173.2744140625,153008,11101.7099609375,153193,0.0,10311.03515625
0.05,forward_fill,0,0,overall,overall,overall,True,201869,201869,1674,143.69723510742188,368.4815368652344,0.081694982945919,0.0836994051933288,0.0357366191930672,29008018.0,27409498112.0,16391.689453125,200645,16821.48828125,200975,0.0,10311.03515625
0.05,forward_fill,1,1,flow_group,high_flow,overall,True,65246,65246,0,102.62409973144533,217.6814422607422,0.0270672198385,0.0278334114700555,0.0294803137892135,6695812.0,3091695104.0,1766.02783203125,65246,1816.018798828125,65246,2911.89111328125,10295.8505859375
0.05,forward_fill,1,1,flow_group,low_flow,overall,True,66809,66809,0,79.64122009277344,197.79074096679688,0.1580915004014969,0.0919961631298065,0.1328709969406,5320750.5,2613646592.0,10336.49609375,65383,6052.427734375,65790,0.0,1488.59228515625
0.05,forward_fill,1,1,flow_group,mid_flow,overall,True,69848,69848,0,116.4279327392578,219.3607482910156,0.0521540977060794,0.0527676828205585,0.1541222833316494,8132258.5,3361025792.0,3642.859375,69848,3685.717041015625,69848,1488.59521484375,2911.885498046875
0.05,forward_fill,1,1,length_group,overall,long,True,12810,12810,0,151.60398864746094,304.5482788085937,0.0717484727501869,0.0695951953530311,0.0400386160899272,1942047.0,1188123136.0,916.08447265625,12768,890.3313598632812,12793,0.0,7606.36376953125
0.05,forward_fill,1,1,length_group,overall,mid,True,19110,19110,0,195.6628875732422,381.5346984863281,0.1387882381677627,0.1128519549965858,0.0391644559120163,3739117.75,2781818368.0,2621.8486328125,18891,2144.525634765625,19003,0.0,9741.861328125
0.05,forward_fill,1,1,length_group,overall,short,True,169983,169983,0,85.11237335205078,173.1530303955078,0.0723113045096397,0.0503838621079921,0.0168177489514083,14467657.0,5096425472.0,12207.44921875,168818,8519.306640625,169088,0.0,10295.8505859375
0.05,forward_fill,1,1,overall,overall,overall,True,201903,201903,0,99.7945556640625,211.906982421875,0.0785395950078964,0.0575165934860706,0.0205817849290962,20148820.0,9066366976.0,15745.3828125,200477,11554.1630859375,200884,0.0,10295.8505859375
0.05,forward_fill,2,2,flow_group,high_flow,overall,True,62067,62067,0,114.0240478515625,243.2005615234375,0.0307146124541759,0.0323610492050647,0.033244417861801,7077130.5,3671046656.0,1906.3638916015625,62067,2008.5533447265625,62067,2911.91259765625,10227.443359375
0.05,forward_fill,2,2,flow_group,low_flow,overall,True,68330,68330,0,91.62061309814452,220.73123168945312,0.1466236561536789,0.1082985624670982,0.1482819929940759,6260436.5,3329192960.0,9761.3232421875,66574,7265.5341796875,67088,0.0,1488.5909423828125
0.05,forward_fill,2,2,flow_group,mid_flow,overall,True,71286,71286,0,139.05255126953125,268.50714111328125,0.062596745789051,0.0663063526153564,0.1886520695580428,9912500.0,5139441664.0,4462.271484375,71286,4726.71484375,71286,1488.5931396484375,2911.885986328125
0.05,forward_fill,2,2,length_group,overall,long,True,37823,37823,0,201.2937164306641,391.7867431640625,0.1567089408636093,0.1232513189315795,0.0522959690783613,7613532.5,5805711360.0,5857.31005859375,37377,4626.48486328125,37537,0.0,7491.7197265625
0.05,forward_fill,2,2,length_group,overall,mid,True,11130,11130,0,170.9149169921875,328.12908935546875,0.1293573826551437,0.1097956225275993,0.0434458810068354,1902283.0,1198352640.0,1420.473388671875,10981,1214.1199951171875,11058,0.0,7552.59375
0.05,forward_fill,2,2,length_group,overall,short,True,152730,152730,0,89.92504119873047,183.3724822998047,0.0584035962820053,0.0537399537861347,0.0179294546893497,13734252.0,5135618048.0,8852.1748046875,151569,8160.197265625,151846,0.0,10227.443359375
0.05,forward_fill,2,2,overall,overall,overall,True,201683,201683,0,115.2802734375,245.34034729003903,0.0806792452931404,0.0698499903082847,0.0239884337335535,23250072.0,12139679744.0,16129.958984375,199927,14000.8017578125,200441,0.0,10227.443359375
0.05,forward_fill,3,3,flow_group,high_flow,overall,True,62540,62540,0,98.96849822998048,205.48245239257807,0.026165172457695,0.0268692038953304,0.0288755122308424,6189490.0,2640628736.0,1636.369873046875,62540,1680.4000244140625,62540,2911.895751953125,10028.044921875
0.05,forward_fill,3,3,flow_group,low_flow,overall,True,67948,67948,0,79.7593765258789,189.72198486328125,0.182474672794342,0.0953427106142044,0.127450540626578,5419490.0,2445749504.0,12086.2099609375,66235,6352.58935546875,66629,0.0,1488.593017578125
0.05,forward_fill,3,3,flow_group,mid_flow,overall,True,70935,70935,0,117.28079986572266,216.23199462890625,0.0526841133832931,0.0539090633392334,0.151923768659923,8319313.5,3316656384.0,3737.147705078125,70935,3824.039306640625,70935,1488.59326171875,2911.885986328125
0.05,forward_fill,3,3,length_group,overall,long,True,20173,20173,0,101.25773620605467,192.6865997314453,0.0513982810080051,0.0487865470349788,0.0214641769755289,2042672.375,748985664.0,1031.4093017578125,20067,980.024169921875,20088,0.0,8977.125
0.05,forward_fill,3,3,length_group,overall,mid,True,8190,8190,0,229.22430419921875,412.0284118652344,0.2411613315343856,0.1300433874130249,0.0472816552088847,1877347.0,1390395008.0,1954.853759765625,8106,1060.1136474609375,8152,0.0,8714.33984375
0.05,forward_fill,3,3,length_group,overall,short,True,173060,173060,0,92.50129699707033,190.2459716796875,0.0843751803040504,0.0571201145648956,0.0189713920471864,16008275.0,6263651840.0,14473.46484375,171537,9816.8916015625,171864,0.0,10028.044921875
0.05,forward_fill,3,3,overall,overall,overall,True,201423,201423,0,98.93753051757812,204.25070190429688,0.0874254032969474,0.0592543333768844,0.0203679484381594,19928294.0,8403034624.0,17459.7265625,199710,11857.029296875,200104,0.0,10028.044921875
0.05,forward_fill,4,4,flow_group,high_flow,overall,True,64597,64597,0,104.92842864990234,223.1960601806641,0.0277713313698768,0.0286745354533195,0.0300661909445096,6778061.5,3217995520.0,1793.9447021484375,64597,1852.2889404296875,64597,2911.91064453125,10335.400390625
0.05,forward_fill,4,4,flow_group,low_flow,overall,True,68397,68397,0,82.0900650024414,196.85723876953125,0.147962212562561,0.0943661406636238,0.1322438387040509,5614714.0,2650573056.0,9888.7587890625,66833,6344.046875,67228,0.0,1488.5928955078125
0.05,forward_fill,4,4,flow_group,mid_flow,overall,True,68306,68306,0,124.78931427001952,238.31358337402344,0.0557694733142852,0.0573066882789135,0.1674385814490186,8523859.0,3879327744.0,3809.3896484375,68306,3914.390625,68306,1488.59521484375,2911.884765625
0.05,forward_fill,4,4,length_group,overall,long,True,23940,23940,0,141.9127655029297,278.63787841796875,0.1040750294923782,0.0801300182938575,0.0373368627490237,3397391.75,1858679168.0,2474.800048828125,23779,1910.299560546875,23840,0.0,7462.80908203125
0.05,forward_fill,4,4,length_group,overall,mid,True,7770,7770,0,216.4431915283203,418.06640625,0.1452321857213974,0.1325687319040298,0.0500468436586171,1681763.625,1358036992.0,1115.81884765625,7683,1024.623779296875,7729,0.0,8353.501953125
0.05,forward_fill,4,4,length_group,overall,short,True,169590,169590,0,93.38687133789062,196.24368286132807,0.0707267671823501,0.054435770958662,0.018987525924911,15837479.0,6531179520.0,11901.4755859375,168274,9175.802734375,168562,0.0,10335.400390625
