missing_rate,method,flow_group,chunk_count,missing_count,valid_eval_count,fallback_count,abs_error_sum,sq_error_sum,ape_sum,ape_count,smape_sum,smape_count,true_min,true_max,mae,rmse,mape,smape,nrmse,exclude_warmup
0.05,forward_fill,high_flow,54,3645614,3645614,0,705012036.0,598641660416.0,186711.05615234375,3645614,204122.26513671875,3645614,2911.8896484375,10467.60546875,193.38636399794382,405.2267688909996,0.05121525651161745,0.05599118972461669,0.0536318170942326,True
0.05,forward_fill,low_flow,54,3631893,3631893,0,452059531.5,292240281088.0,852495.970703125,3569329,443652.5185546875,3596083,0.0,1488.593017578125,124.46939695084629,283.6635383433963,0.23883928063317364,0.12337104526082615,0.19055815457532127,True
0.05,forward_fill,mid_flow,54,3632427,3632427,0,736432245.0,486546468352.0,330128.64404296875,3632427,334995.02587890625,3632427,1488.5931396484375,2911.889404296875,202.7383468408312,365.9853612008139,0.09088376560436555,0.09222347094075291,0.25713926909743867,True
0.05,function_curve_fit,high_flow,54,3645614,3645614,0,556500122.0,271570269440.0,148198.51025390625,3645614,153634.03857421875,3645614,2911.8896484375,10467.60546875,152.64921683974222,272.9328246849287,0.04065117981604916,0.0421421572811106,0.036122695873657185,True
0.05,function_curve_fit,low_flow,54,3631893,3631893,0,368981263.0,199450699008.0,799910.8857421875,3569329,425779.71484375,3631893,0.0,1488.593017578125,101.59475045107331,234.34260793429277,0.22410679591099267,0.11723355144101162,0.15742557244797362,True
0.05,function_curve_fit,mid_flow,54,3632427,3632427,0,553115603.0,254200977664.0,251263.38549804688,3632427,245963.59912109375,3632427,1488.5931396484375,2911.889404296875,152.27163629165844,264.539276043471,0.06917231523112423,0.06771329447807038,0.18586381670074412,True
0.05,historical_linear_extrapolation,high_flow,54,3645614,3645614,0,662005167.0,433003792896.0,176032.33935546875,3645614,185073.283203125,3645614,2911.8896484375,10467.60546875,181.58948451481697,344.6358949104555,0.048286060826919344,0.05076601176183902,0.04561260681402937,True
0.05,historical_linear_extrapolation,low_flow,54,3631893,3631893,0,436782164.0,260355151360.0,731877.9072265625,3569329,455317.2939453125,3612332,0.0,1488.593017578125,120.26294937653725,267.7420380466216,0.20504635667559995,0.12604525108581174,0.17986248416120212,True
0.05,historical_linear_extrapolation,mid_flow,54,3632427,3632427,0,688302927.0,403405977088.0,308758.60888671875,3632427,307465.17138671875,3632427,1488.5931396484375,2911.889404296875,189.48844037333717,333.2519633721935,0.08500063700845709,0.08464455621178864,0.2341409667470101,True
0.05,road_topology_neighbor_fill,high_flow,54,3645614,3645614,0,2501948432.0,3700133236736.0,645445.685546875,3645614,661160.197265625,3645614,2911.8896484375,10467.60546875,686.2899999835419,1007.4496252756528,0.17704718205132935,0.18135770744396554,0.13333609273224165,True
0.05,road_topology_neighbor_fill,low_flow,54,3631893,3631893,0,1454571018.0,2087168618496.0,1924018.5390625,3569329,917177.69140625,3624587,0.0,1488.593017578125,400.4994139419856,758.0751238865193,0.5390420829972524,0.25304336505269426,0.5092561330966566,True
0.05,road_topology_neighbor_fill,mid_flow,54,3632427,3632427,0,1754294992.0,2191615586304.0,801765.8583984375,3632427,683840.3798828125,3632427,1488.5931396484375,2911.889404296875,482.9539566796525,776.7544368105084,0.22072456195222576,0.18825990993977648,0.5457433256191193,True
0.05,topology_function_hybrid,high_flow,54,3645614,3645614,0,1387989468.0,1094877315072.0,358748.525390625,3645614,364464.1904296875,3645614,2911.8896484375,10467.60546875,380.7285872832395,548.0212350890785,0.09840551561153348,0.09997333519941702,0.07253068380573538,True
0.05,topology_function_hybrid,low_flow,54,3631893,3631893,0,868191758.0,676900653056.0,1324418.0,3569329,696419.3505859375,3631893,0.0,1488.593017578125,239.0466233449058,431.7138125046462,0.37105517591681797,0.1917510649641764,0.2900146698303244,True
0.05,topology_function_hybrid,mid_flow,54,3632427,3632427,0,1054048846.0,713633650688.0,481737.15625,3632427,439335.81298828125,3632427,1488.5931396484375,2911.889404296875,290.1775716346123,443.24027199986295,0.1326212904622722,0.1209482841605024,0.31141813760703285,True
0.05,zero_fill,high_flow,54,3645614,3645614,0,13655994832.0,54620658335744.0,3645614.0,3645614,7291228.0,3645614,2911.8896484375,10467.60546875,3745.869648295184,3870.7321836630053,1.0,2.0,0.5122919225279855,True
0.05,zero_fill,low_flow,54,3631893,3631893,0,4709359616.0,6381555294208.0,3569329.0,3569329,7138658.0,3569329,0.0,1488.593017578125,1296.6680505180082,1325.551927958886,1.0,2.0,0.890473025404553,True
0.05,zero_fill,mid_flow,54,3632427,3632427,0,8265254880.0,19750669352960.0,3632427.0,3632427,7264854.0,3632427,1488.5931396484375,2911.889404296875,2275.4083922402297,2331.806248206202,1.0,2.0,1.638314036313565,True
0.1,forward_fill,high_flow,54,7282601,7282601,0,1410882842.0,1199018501120.0,373795.2001953125,7282601,408314.4365234375,7282601,2911.8896484375,10468.935546875,193.73337108541304,405.7604224192466,0.051327156354620075,0.05606711620249929,0.053692994309210415,True
0.1,forward_fill,low_flow,54,7256379,7256379,0,905981367.0,590370409472.0,1757844.06640625,7133599,884462.5712890625,7186937,0.0,1488.593017578125,124.8530936710996,285.2346696487495,0.24641756095433034,0.12306530185099195,0.1916136017571906,True
0.1,forward_fill,mid_flow,54,7261677,7261677,0,1480285676.0,986098310144.0,663721.640625,7261677,674179.3203125,7261677,1488.5931396484375,2911.889404296875,203.8490111857082,368.5035224136881,0.09140060080130251,0.0928407198932836,0.2589085150902933,True
0.1,function_curve_fit,high_flow,54,7282601,7282601,0,1111748210.0,544468756992.0,296231.6318359375,7282601,307233.09814453125,7282601,2911.8896484375,10468.935546875,152.65812448052557,273.42814979014844,0.04067662526560737,0.0421872759669974,0.03618188290303789,True
0.1,function_curve_fit,low_flow,54,7256379,7256379,0,737847465.0,396115618304.0,1728765.96484375,7133599,846791.943359375,7256372,0.0,1488.593017578125,101.68259747733684,233.64204793473218,0.24234134338694255,0.11669632474180969,0.15695495355396566,True
0.1,function_curve_fit,mid_flow,54,7261677,7261677,0,1109169026.0,510918644224.0,503946.5595703125,7261677,493405.26171875,7261677,1488.5931396484375,2911.889404296875,152.74282042563996,265.2512332389513,0.06939809627587573,0.06794646219031086,0.18636403384679007,True
0.1,historical_linear_extrapolation,high_flow,54,7282601,7282601,0,1333647374.0,883258747904.0,354889.22119140625,7282601,373480.5478515625,7282601,2911.8896484375,10468.935546875,183.12789263066864,348.25769039483845,0.04873110873318561,0.05128395031549339,0.04608383951549698,True
0.1,historical_linear_extrapolation,low_flow,54,7256379,7256379,0,881053169.0,529420357120.0,1800169.75390625,7133599,916903.654296875,7219963,0.0,1488.593017578125,121.41774416689096,270.1097988043832,0.25235084757445014,0.1269956167776587,0.18145308732123433,True
0.1,historical_linear_extrapolation,mid_flow,54,7261677,7261677,0,1388475774.0,822458838016.0,623155.6328125,7261677,621360.841796875,7261677,1488.5931396484375,2911.889404296875,191.20593961973248,336.5414969348753,0.08581428681177915,0.0855671275101984,0.23645217464123888,True
0.1,road_topology_neighbor_fill,high_flow,54,7282601,7282601,0,4892555328.0,7053418553344.0,1262174.0703125,7282601,1292397.7734375,7282601,2911.8896484375,10468.935546875,671.8142773440424,984.1392880325593,0.17331363757433643,0.17746376238894593,0.13022804165263052,True
0.1,road_topology_neighbor_fill,low_flow,54,7256379,7256379,0,2898001308.0,4075421007872.0,3810480.16796875,7133599,1839653.759765625,7245493,0.0,1488.593017578125,399.3729252565226,749.4216944445787,0.5341595690995177,0.25390318640368914,0.5034429730591204,True
0.1,road_topology_neighbor_fill,mid_flow,54,7261677,7261677,0,3453861552.0,4223390285824.0,1580347.900390625,7261677,1349568.357421875,7261677,1488.5931396484375,2911.889404296875,475.6286395002146,762.626943131147,0.21762850377269946,0.1858480289638158,0.535817427525899,True
0.1,topology_function_hybrid,high_flow,54,7282601,7282601,0,2720952780.0,2104906244096.0,703202.0478515625,7282601,714830.2412109375,7282601,2911.8896484375,10468.935546875,373.6237616203332,537.617157091787,0.09655918920335776,0.09815589803848068,0.07114117928051028,True
0.1,topology_function_hybrid,low_flow,54,7256379,7256379,0,1729056022.0,1327513477120.0,2692366.12890625,7133599,1387011.548828125,7256379,0.0,1488.593017578125,238.28083152768068,427.7199333702298,0.3774204477860684,0.1911437576273407,0.28733168053287744,True
0.1,topology_function_hybrid,mid_flow,54,7261677,7261677,0,2083291664.0,1390266298368.0,952908.09375,7261677,870054.35546875,7261677,1488.5931396484375,2911.889404296875,286.8885057817912,437.55286693669785,0.13122424665129007,0.11981452155869092,0.30742219859951364,True
0.1,zero_fill,high_flow,54,7282601,7282601,0,27263054016.0,108961661059072.0,7282601.0,7282601,14565202.0,7282601,2911.8896484375,10468.935546875,3743.587492435738,3868.063538518487,1.0,2.0,0.5118486231925957,True
0.1,zero_fill,low_flow,54,7256379,7256379,0,9412719968.0,12754379587584.0,7133599.0,7133599,14267198.0,7133599,0.0,1488.593017578125,1297.1648763108983,1325.774587278735,1.0,2.0,0.8906226024328071,True
0.1,zero_fill,mid_flow,54,7261677,7261677,0,16524561024.0,39489030520832.0,7261677.0,7261677,14523354.0,7261677,1488.5931396484375,2911.889404296875,2275.584692626786,2331.952887233074,1.0,2.0,1.6384170640742037,True
0.2,forward_fill,high_flow,54,14717001,14717001,0,2674405364.0,2193628960768.0,707684.05078125,14717001,772623.05859375,14717001,2911.8896484375,10468.935546875,181.72217043404427,386.0752184696187,0.048086159047026636,0.05249867541585069,0.0510881134848531,True
0.2,forward_fill,low_flow,54,14528891,14528891,0,1672658366.0,1004288998400.0,2975060.81640625,14286362,1674008.474609375,14380719,0.0,1488.593017578125,115.12636208778771,262.91364112149694,0.2082448153285105,0.1164064519033697,0.17661888643629794,True
0.2,forward_fill,mid_flow,54,14332468,14332468,0,2724109476.0,1731618951168.0,1215306.6015625,14332468,1253437.1875,14332468,1488.5931396484375,2911.889404296875,190.06562414791367,347.5887203732443,0.0847939518555004,0.08745438590897255,0.24421389208036792,True
0.2,function_curve_fit,high_flow,54,14717001,14717001,0,2289694076.0,1143099667456.0,609506.4130859375,14717001,632822.169921875,14717001,2911.8896484375,10468.935546875,155.58156692385901,278.6970614017499,0.04141512344029449,0.04299939708653108,0.036879101324417456,True
0.2,function_curve_fit,low_flow,54,14528891,14528891,0,1488164072.0,814189227008.0,3241069.359375,14286362,1690874.205078125,14528614,0.0,1488.593017578125,102.42791910270371,236.72626340673762,0.22686456911668626,0.11638234762642362,0.15902685328450672,True
0.2,function_curve_fit,mid_flow,54,14332468,14332468,0,2220468052.0,1045721269248.0,1007770.8544921875,14332468,986334.896484375,14332468,1488.5931396484375,2911.889404296875,154.92572891144778,270.1142401007664,0.07031383949311364,0.06881821724523474,0.18978075528603047,True
0.2,historical_linear_extrapolation,high_flow,54,14717001,14717001,0,2805598124.0,1948517523456.0,746059.7509765625,14717001,786949.9365234375,14717001,2911.8896484375,10468.935546875,190.63653824580157,363.866855979871,0.050693735155454736,0.05347216708916698,0.048149351065223035,True
0.2,historical_linear_extrapolation,low_flow,54,14528891,14528891,0,1811819518.0,1131608792064.0,3456848.5078125,14286362,1880785.451171875,14466124,0.0,1488.593017578125,124.70459844457503,279.08206240876007,0.24196842469849916,0.13001308789914112,0.18748043226940178,True
0.2,historical_linear_extrapolation,mid_flow,54,14332468,14332468,0,2847886240.0,1774641031168.0,1276563.279296875,14332468,1273453.892578125,14332468,1488.5931396484375,2911.889404296875,198.70173371397027,351.8801503581106,0.08906793158700058,0.08885098453233072,0.2472290268007041,True
0.2,road_topology_neighbor_fill,high_flow,54,14717001,14717001,0,9526395232.0,13148583149568.0,2453514.9609375,14717001,2509208.0,14717001,2911.8896484375,10468.935546875,647.3054688247965,945.2132890132488,0.16671297100119106,0.1704972364953974,0.12507708722646263,True
0.2,road_topology_neighbor_fill,low_flow,54,14528891,14528891,0,5746164584.0,7736661483520.0,7289960.984375,14286362,3699497.5234375,14519450,0.0,1488.593017578125,395.4991873777565,729.7272505238634,0.5102741330770563,0.25479598217821614,0.49021273236327373,True
0.2,road_topology_neighbor_fill,mid_flow,54,14332468,14332468,0,6675165328.0,7848540028928.0,3057019.36328125,14332468,2615099.90234375,14332468,1488.5931396484375,2911.889404296875,465.7373264674305,740.0037974599952,0.21329329765684807,0.182459845878864,0.5199225318298579,True
0.2,topology_function_hybrid,high_flow,54,14717001,14717001,0,5340763480.0,4008100687872.0,1377668.35546875,14717001,1402061.6015625,14717001,2911.8896484375,10468.935546875,362.8975414216524,521.866779441472,0.09361067213821281,0.09526815969928248,0.06905698158448045,True
0.2,topology_function_hybrid,low_flow,54,14528891,14528891,0,3431178960.0,2566466863104.0,5107374.28125,14286362,2758252.5703125,14528855,0.0,1488.593017578125,236.1624820504194,420.292458989464,0.3574999906379245,0.18984652061793583,0.2823420868070853,True
0.2,topology_function_hybrid,mid_flow,54,14332468,14332468,0,4053733672.0,2643887042560.0,1854458.3046875,14332468,1695356.498046875,14332468,1488.5931396484375,2911.889404296875,282.8357036624816,429.4978140446961,0.12938862341695093,0.11828782719395396,0.3017627634614671,True
0.2,zero_fill,high_flow,54,14717001,14717001,0,55085517312.0,220126539677696.0,14717001.0,14717001,29434002.0,14717001,2911.8896484375,10468.935546875,3742.9852258622527,3867.4663495934237,1.0,2.0,0.5117695990695338,True
0.2,zero_fill,low_flow,54,14528891,14528891,0,18852001088.0,25536853213184.0,14286362.0,14286362,28572724.0,14286362,0.0,1488.593017578125,1297.552654775922,1325.767771125231,1.0,2.0,0.8906180235093382,True
0.2,zero_fill,mid_flow,54,14332468,14332468,0,32672332544.0,78197945532416.0,14332468.0,14332468,28664936.0,14332468,1488.5931396484375,2911.889404296875,2279.602685594693,2335.8082131632104,1.0,2.0,1.6411257945232989,True
0.3,forward_fill,high_flow,54,22083005,22083005,0,4135222024.0,3481575493632.0,1094772.40625,22083005,1199470.462890625,22083005,2911.8896484375,10468.935546875,187.2581210754605,397.06245456388956,0.04957533661066508,0.05431645117549106,0.052542019712489306,True
0.3,forward_fill,low_flow,54,21781320,21781320,0,2554998880.0,1555523213312.0,4728043.0625,21418057,2550076.76953125,21561013,0.0,1488.593017578125,117.30229756506952,267.23673097213793,0.22075032588156807,0.11827258624310695,0.17952303135676417,True
0.3,forward_fill,mid_flow,54,21503149,21503149,0,4176464728.0,2707982229504.0,1862977.009765625,21503149,1923717.033203125,21503149,1488.5931396484375,2911.889404296875,194.22572610179094,354.8721133981625,0.08663740412000238,0.08946210776864007,0.2493311633090093,True
0.3,function_curve_fit,high_flow,54,22083005,22083005,0,3457744940.0,1728201127936.0,920596.0283203125,22083005,955826.7490234375,22083005,2911.8896484375,10468.935546875,156.57945737004542,279.7486869275248,0.04168798713401154,0.0432833642442882,0.03701825960662298,True
