missing_rate,method,chunk_index,day_index,flow_group,is_warmup_day,missing_count,valid_eval_count,fallback_count,mae,rmse,mape,smape,nrmse,abs_error_sum,sq_error_sum,ape_sum,ape_count,smape_sum,smape_count,true_min,true_max
0.05,correlation_topology_neighbor_fill,0,0,high_flow,True,66914,66914,66914,130.6925048828125,425.6058044433594,0.0343487113714218,0.0440817698836326,0.057634069077846,8745158.0,12120822784.0,2298.40966796875,66914,2949.6875,66914,2911.891845703125,10296.513671875
0.05,correlation_topology_neighbor_fill,0,0,low_flow,True,68308,68308,68308,81.65702056884766,209.11436462402344,0.0928371623158454,0.0965662896633148,0.1404781155193163,5577828.0,2987027968.0,6227.60986328125,67081,6504.22265625,67355,0.0,1488.59033203125
0.05,correlation_topology_neighbor_fill,0,0,mid_flow,True,66678,66678,66678,139.09767150878906,328.3553466796875,0.0617340765893459,0.0744631737470626,0.2307018381962578,9274755.0,7189038080.0,4116.3046875,66678,4965.0556640625,66678,1488.595947265625,2911.884765625
0.05,correlation_topology_neighbor_fill,0,0,overall,True,201900,201900,201900,116.87836456298828,332.318115234375,0.0629996210336685,0.0717550665140152,0.0322748190139449,23597742.0,22296891392.0,12642.3232421875,200673,14418.96484375,200947,0.0,10296.513671875
0.05,correlation_topology_neighbor_fill,1,1,high_flow,True,64936,64936,427,64.08561706542969,143.55093383789062,0.0163918975740671,0.0167171992361545,0.0194506485439221,4161463.5,1338127616.0,1064.42431640625,64936,1085.548095703125,64936,2911.892578125,10292.1572265625
0.05,correlation_topology_neighbor_fill,1,1,low_flow,True,67775,67775,944,34.52404022216797,109.31543731689452,0.0671314969658851,0.0678110644221305,0.0734354151808598,2339866.75,809902080.0,4454.64453125,66357,4577.111328125,67498,0.0,1488.5928955078125
0.05,correlation_topology_neighbor_fill,1,1,mid_flow,True,69942,69942,658,48.8785285949707,118.98726654052734,0.022097174078226,0.0222249086946249,0.0836000823613018,3418662.0,990236736.0,1545.5205078125,69942,1554.45458984375,69942,1488.594970703125,2911.88623046875
0.05,correlation_topology_neighbor_fill,1,1,overall,True,202653,202653,2029,48.95064163208008,124.44239807128906,0.0351061671972274,0.0356619097292423,0.0120909927172626,9919994.0,3138266112.0,7064.58935546875,201235,7217.11474609375,202376,0.0,10292.1572265625
0.05,correlation_topology_neighbor_fill,2,2,high_flow,True,63097,63097,442,59.88852310180664,129.8718719482422,0.0153675703331828,0.0155663779005408,0.0178946534916385,3778786.25,1064238464.0,969.6475830078124,63097,982.1917724609376,63097,2911.89111328125,10169.470703125
0.05,correlation_topology_neighbor_fill,2,2,low_flow,True,67536,67536,918,33.88468551635742,101.41655731201172,0.0574868731200695,0.0728639662265777,0.0681291926536982,2288436.0,694629184.0,3790.454345703125,65936,4901.267578125,67266,0.0,1488.591796875
0.05,correlation_topology_neighbor_fill,2,2,mid_flow,True,70896,70896,637,46.720096588134766,113.78319549560548,0.0212243050336837,0.0212119370698928,0.0799448153264967,3312268.0,917863232.0,1504.7183837890625,70896,1503.841552734375,70896,1488.595458984375,2911.8671875
0.05,correlation_topology_neighbor_fill,2,2,overall,True,201529,201529,1997,46.5416374206543,115.24803924560548,0.0313352271914482,0.0367054492235183,0.0113327470632459,9379490.0,2676730624.0,6264.8203125,199929,7387.30224609375,201259,0.0,10169.470703125
0.05,correlation_topology_neighbor_fill,3,3,high_flow,True,62291,62291,433,58.02440643310547,128.45590209960938,0.0148824965581297,0.0151047362014651,0.0178791459893898,3614398.25,1027858624.0,927.0455932617188,62291,940.8890991210938,62291,2911.8916015625,10096.5693359375
0.05,correlation_topology_neighbor_fill,3,3,low_flow,True,68752,68752,878,33.86619567871094,101.65348052978516,0.075628861784935,0.0756485536694526,0.0682883015474204,2328368.75,710444032.0,5067.43603515625,67004,5176.1767578125,68424,0.0,1488.5928955078125
0.05,correlation_topology_neighbor_fill,3,3,mid_flow,True,71231,71231,632,45.616249084472656,111.46037292480467,0.0207320675253868,0.0209708102047443,0.0783116768000842,3249291.0,884932288.0,1476.765869140625,71231,1493.771728515625,71231,1488.5948486328125,2911.88671875
0.05,correlation_topology_neighbor_fill,3,3,overall,True,202274,202274,1943,45.44359970092773,113.88029479980467,0.037258256226778,0.0376874916255474,0.0112791078841465,9192059.0,2623235072.0,7471.2490234375,200526,7610.837890625,201946,0.0,10096.5693359375
0.05,correlation_topology_neighbor_fill,4,4,high_flow,True,64644,64644,412,60.79682540893555,132.07571411132812,0.0154555710032582,0.015651986002922,0.01782933744685,3930150.0,1127649664.0,999.1099243164062,64644,1011.8070068359376,64644,2911.893310546875,10319.66796875
0.05,correlation_topology_neighbor_fill,4,4,low_flow,True,68796,68796,867,32.81451797485352,98.67561340332033,0.0512742660939693,0.0706366449594497,0.0662878438430666,2257507.5,669858176.0,3444.656494140625,67181,4839.17529296875,68508,0.0,1488.5928955078125
0.05,correlation_topology_neighbor_fill,4,4,mid_flow,True,68534,68534,586,46.26266098022461,113.02403259277344,0.0209277104586362,0.0210963748395442,0.0794110274883142,3170565.25,875482880.0,1434.259765625,68534,1445.8189697265625,68534,1488.59912109375,2911.8779296875
