missing_rate,method,chunk_index,day_index,group_dimension,flow_group,length_group,is_warmup_day,missing_count,valid_eval_count,fallback_count,mae,rmse,mape,smape,nrmse,abs_error_sum,sq_error_sum,ape_sum,ape_count,smape_sum,smape_count,true_min,true_max
0.05,correlation_topology_neighbor_fill,0,0,flow_group,high_flow,overall,True,63480,63480,63480,239.0101776123047,535.7064819335938,0.0635106116533279,0.0758970528841018,0.0798954877414114,15172366.0,18217580544.0,4031.653564453125,63480,4817.94482421875,63480,2911.891845703125,9616.982421875
0.05,correlation_topology_neighbor_fill,0,0,flow_group,low_flow,overall,True,62564,62564,62564,143.75250244140625,325.3233947753906,0.2015330046415329,0.1515028476715088,0.2185442344627146,8993732.0,6621479936.0,12388.63671875,61472,9376.056640625,61887,0.0,1488.5928955078125
0.05,correlation_topology_neighbor_fill,0,0,flow_group,mid_flow,overall,True,61730,61730,61730,248.77761840820312,481.1261596679688,0.1111094951629638,0.1282670795917511,0.338039768663099,15357042.0,14289406976.0,6858.7890625,61730,7917.92724609375,61730,1488.595703125,2911.87841796875
0.05,correlation_topology_neighbor_fill,0,0,length_group,overall,long,True,79124,79124,79124,244.40695190429688,507.0364685058594,0.135851114988327,0.1359088867902755,0.0566641449362671,19338456.0,20341669888.0,10695.9658203125,78733,10728.919921875,78942,0.0,8948.1005859375
0.05,correlation_topology_neighbor_fill,0,0,length_group,overall,mid,True,82714,82714,82714,197.536361694336,433.4443664550781,0.1259147673845291,0.1107056438922882,0.0450707246245096,16339022.0,15539812352.0,10348.1796875,82184,9115.8349609375,82343,0.0,9616.982421875
0.05,correlation_topology_neighbor_fill,0,0,length_group,overall,short,True,25936,25936,25936,148.27500915527344,353.8251647949219,0.0867430344223976,0.0878340080380439,0.0399828961942325,3845660.5,3246986240.0,2234.934326171875,25765,2267.17138671875,25812,0.0,8849.4130859375
0.05,correlation_topology_neighbor_fill,0,0,overall,overall,overall,True,187774,187774,187774,210.4824981689453,456.4873046875,0.1246991157531738,0.1181843057274818,0.0474667920416662,39523140.0,39128469504.0,23279.080078125,186682,22111.9296875,187097,0.0,9616.982421875
0.05,correlation_topology_neighbor_fill,1,1,flow_group,high_flow,overall,True,64024,64024,424,63.988059997558594,138.2164306640625,0.0162870679050683,0.0165217965841293,0.0189472351490389,4096771.5,1223100544.0,1042.76318359375,64024,1057.79150390625,64024,2911.897705078125,10206.705078125
0.05,correlation_topology_neighbor_fill,1,1,flow_group,low_flow,overall,True,66867,66867,864,34.11842346191406,104.85787200927734,0.0453698895871639,0.0640566051006317,0.0704410135963319,2281396.5,735214272.0,2972.4990234375,65517,4260.9814453125,66519,0.0,1488.5911865234375
0.05,correlation_topology_neighbor_fill,1,1,flow_group,mid_flow,overall,True,68788,68788,727,48.1334342956543,115.36414337158205,0.0218294356018304,0.0219725724309682,0.0810547375862875,3311002.75,915491648.0,1501.603271484375,68788,1511.4493408203125,68788,1488.599365234375,2911.88623046875
0.05,correlation_topology_neighbor_fill,1,1,length_group,overall,long,True,88454,88454,966,48.66081619262695,119.50395965576172,0.0283682662993669,0.0328865088522434,0.0134781628337281,4304244.0,1263229056.0,2495.669921875,87974,2905.02978515625,88335,0.0,8866.4873046875
