missing_rate,metric,rank,method,value
0.05,MAE,1,forward_fill,87.49862735458164
0.05,MAE,2,function_curve_fit,135.47146193621393
0.05,MAE,3,historical_linear_extrapolation,164.09041230031286
0.05,MAE,4,topology_function_hybrid,303.5633930135157
0.05,MAE,5,road_topology_neighbor_fill,523.6444912620296
0.05,MAE,6,zero_fill,2439.9498041726806
0.1,MAE,1,forward_fill,90.01376564306827
0.1,MAE,2,function_curve_fit,135.3739132302508
0.1,MAE,3,historical_linear_extrapolation,165.18730872127273
0.1,MAE,4,topology_function_hybrid,299.45505460490773
0.1,MAE,5,road_topology_neighbor_fill,515.533908391086
0.1,MAE,6,zero_fill,2439.797067899393
0.2,MAE,1,forward_fill,95.53400195489262
0.2,MAE,2,function_curve_fit,135.5501314483311
0.2,MAE,3,historical_linear_extrapolation,168.79046359006753
0.2,MAE,4,topology_function_hybrid,293.1494116894905
0.2,MAE,5,road_topology_neighbor_fill,502.8226903579789
0.2,MAE,6,zero_fill,2439.8771629447565
0.3,MAE,1,forward_fill,101.5889139221552
0.3,MAE,2,function_curve_fit,135.6966961524635
0.3,MAE,3,historical_linear_extrapolation,174.31629418612633
0.3,MAE,4,topology_function_hybrid,288.3482909045936
0.3,MAE,5,road_topology_neighbor_fill,493.2864456342088
0.3,MAE,6,zero_fill,2439.878106701768
0.05,RMSE,1,forward_fill,181.8150797553333
0.05,RMSE,2,function_curve_fit,257.7133011300634
0.05,RMSE,3,historical_linear_extrapolation,317.93748391074524
0.05,RMSE,4,topology_function_hybrid,477.3679209387527
0.05,RMSE,5,road_topology_neighbor_fill,855.2228835919649
0.05,RMSE,6,zero_fill,2718.874813111021
0.1,RMSE,1,forward_fill,187.7716767188052
0.1,RMSE,2,function_curve_fit,257.5446386463814
0.1,RMSE,3,historical_linear_extrapolation,320.0487051672021
0.1,RMSE,4,topology_function_hybrid,470.0782708944832
0.1,RMSE,5,road_topology_neighbor_fill,838.9225856261953
0.1,RMSE,6,zero_fill,2718.815161364984
0.2,RMSE,1,forward_fill,200.28318394598116
0.2,RMSE,2,function_curve_fit,257.82247813859175
0.2,RMSE,3,historical_linear_extrapolation,327.58681224035223
0.2,RMSE,4,topology_function_hybrid,458.2165165767309
0.2,RMSE,5,road_topology_neighbor_fill,811.8314467944756
0.2,RMSE,6,zero_fill,2718.9658095183995
0.3,RMSE,1,forward_fill,213.51260962082836
0.3,RMSE,2,function_curve_fit,257.8389497443943
0.3,RMSE,3,historical_linear_extrapolation,340.7383484301148
0.3,RMSE,4,topology_function_hybrid,448.4073454889147
0.3,RMSE,5,road_topology_neighbor_fill,789.3671916445994
0.3,RMSE,6,zero_fill,2718.918169054081
0.05,sMAPE,1,forward_fill,0.0490691253680287
0.05,sMAPE,2,function_curve_fit,0.0756037722833741
0.05,sMAPE,3,historical_linear_extrapolation,0.0872100582499755
0.05,sMAPE,4,topology_function_hybrid,0.1376424928324818
0.05,sMAPE,5,road_topology_neighbor_fill,0.2076650851773302
0.05,sMAPE,6,zero_fill,2.0
0.1,sMAPE,1,forward_fill,0.0503258935848652
0.1,sMAPE,2,function_curve_fit,0.0755183977015684
0.1,sMAPE,3,historical_linear_extrapolation,0.0878856310843703
0.1,sMAPE,4,topology_function_hybrid,0.1363039356424669
0.1,sMAPE,5,road_topology_neighbor_fill,0.2057055861999306
0.1,sMAPE,6,zero_fill,2.0
0.2,sMAPE,1,forward_fill,0.0530901510588802
0.2,sMAPE,2,function_curve_fit,0.0756090643145058
0.2,sMAPE,3,historical_linear_extrapolation,0.0900139592555985
0.2,sMAPE,4,topology_function_hybrid,0.1344205181147598
0.2,sMAPE,5,road_topology_neighbor_fill,0.2027492140597679
0.2,sMAPE,6,zero_fill,2.0
0.3,sMAPE,1,forward_fill,0.056088853683377
0.3,sMAPE,2,function_curve_fit,0.0756790693709623
0.3,sMAPE,3,historical_linear_extrapolation,0.0929374527251733
0.3,sMAPE,4,topology_function_hybrid,0.1330815593845033
0.3,sMAPE,5,road_topology_neighbor_fill,0.2006041343039253
0.3,sMAPE,6,zero_fill,2.0
